Date,Price,Open,High,Low,Vol,Change %
5/26/2022,"48,800","49,300","49,300","48,700",0.84K,-0.41%
5/25/2022,"49,000","49,400","49,400","48,500",0.90K,2.30%
5/24/2022,"47,900","47,900","47,900","47,000",0.80K,-1.84%
5/23/2022,"48,800","49,200","49,200","48,800",0.20K,-0.41%
5/19/2022,"49,000","49,800","49,800","49,000",1.20K,1.87%
5/18/2022,"48,100","50,100","50,100","48,000",2.60K,-2.43%
5/17/2022,"49,300","48,800","49,500","48,700",2.00K,1.02%
5/16/2022,"48,800","48,900","49,000","46,800",3.10K,6.55%
5/13/2022,"45,800","50,000","52,200","45,000",26.80K,-7.47%
5/12/2022,"49,500","50,200","50,200","48,400",0.70K,1.02%
5/11/2022,"49,000","50,700","50,700","48,800",5.30K,0.62%
5/10/2022,"48,700","48,800","49,000","48,100",17.20K,-0.20%
5/9/2022,"48,800","50,800","50,800","48,800",10.10K,-3.17%
5/6/2022,"50,400","51,500","51,500","49,300",15.90K,0.80%
5/5/2022,"50,000","50,800","50,800","50,000",0.20K,0.81%
5/4/2022,"49,600","51,700","51,700","49,500",21.10K,-2.17%
4/29/2022,"50,700","52,100","52,100","49,200",4.50K,-0.39%
4/28/2022,"50,900","51,800","51,800","50,000",5.50K,-0.20%
4/27/2022,"51,000","51,500","51,500","49,700",4.90K,-0.20%
4/26/2022,"51,100","50,000","51,100","48,100",2.70K,-1.73%
4/25/2022,"52,000","52,600","52,600","51,000",1.20K,-1.14%
4/22/2022,"52,600","51,700","52,600","51,700",0.90K,2.73%
4/21/2022,"51,200","53,900","53,900","51,100",1.70K,-3.21%
4/20/2022,"52,900","53,600","54,900","52,900",13.70K,-0.19%
4/19/2022,"53,000","53,200","54,500","53,000",9.60K,0.00%
4/18/2022,"53,000","53,200","53,800","52,900",13.30K,-0.19%
4/15/2022,"53,100","53,500","53,500","53,100",2.50K,-0.75%
4/14/2022,"53,500","53,100","54,300","53,100",2.10K,0.75%
4/13/2022,"53,100","53,000","54,800","52,900",10.00K,0.19%
4/12/2022,"53,000","53,400","53,500","52,900",35.70K,0.38%
4/8/2022,"52,800","53,500","53,500","52,800",21.10K,0.00%
4/7/2022,"52,800","53,300","53,500","52,800",9.10K,0.00%
4/6/2022,"52,800","52,500","52,900","52,300",1.90K,0.00%
4/5/2022,"52,800","53,000","53,000","52,000",38.80K,-0.19%
4/4/2022,"52,900","52,900","52,900","52,100",38.70K,0.00%
4/1/2022,"52,900","54,000","54,000","52,800",39.30K,-5.03%
3/31/2022,"55,700","53,000","55,900","52,700",12.54K,5.09%
3/30/2022,"53,000","52,300","53,000","52,300",0.20K,0.00%
3/29/2022,"53,000","53,000","53,000","52,700",17.90K,0.57%
3/28/2022,"52,700","52,800","53,300","52,600",11.60K,-1.31%
3/25/2022,"53,400","53,400","53,400","53,400",0.10K,0.75%
3/24/2022,"53,000","52,800","53,200","52,500",1.90K,0.00%
3/23/2022,"53,000","53,500","53,500","53,000",1.60K,-0.75%
3/22/2022,"53,400","53,500","53,500","53,400",1.40K,0.75%
3/21/2022,"53,000","53,000","53,100","52,900",5.10K,-0.56%
3/18/2022,"53,300","53,300","53,300","53,300",0.10K,0.00%
3/17/2022,"53,300","53,400","53,400","52,700",1.12K,0.76%
3/16/2022,"52,900","53,000","53,000","52,800",8.10K,-1.12%
3/15/2022,"53,500","54,000","54,000","52,800",1.20K,0.94%
3/14/2022,"53,000","52,800","53,100","52,800",7.20K,-0.38%
3/11/2022,"53,200","53,500","53,500","53,000",6.80K,-0.93%
3/10/2022,"53,700","54,000","54,000","52,800",12.70K,1.32%
3/9/2022,"53,000","53,800","54,900","53,000",10.00K,-0.56%
3/8/2022,"53,300","53,800","53,800","52,600",2.70K,-1.11%
3/7/2022,"53,900","54,800","54,900","52,700",3.00K,1.51%
3/4/2022,"53,100","53,100","53,100","53,100",0.90K,0.19%
3/3/2022,"53,000","53,000","55,000","52,600",4.70K,-1.85%
3/2/2022,"54,000","55,700","55,800","53,000",3.74K,0.00%
3/1/2022,"54,000","53,100","59,500","52,000",10.20K,-9.85%
2/28/2022,"59,900","52,500","59,900","52,000",29.90K,15.19%
2/25/2022,"52,000","53,300","53,300","52,000",7.10K,-0.95%
2/24/2022,"52,500","53,000","53,400","51,900",2.80K,-0.76%
2/23/2022,"52,900","52,000","52,900","52,000",1.90K,0.38%
2/22/2022,"52,700","53,000","53,000","51,600",13.70K,-1.13%
2/21/2022,"53,300","53,400","54,000","52,500",1.40K,1.72%
2/18/2022,"52,400","52,300","52,700","52,300",0.50K,-0.57%
2/17/2022,"52,700","52,800","52,800","52,400",3.91K,-0.38%
2/16/2022,"52,900","53,400","53,400","52,500",16.60K,0.00%
2/15/2022,"52,900","53,000","53,300","51,200",14.38K,1.73%
2/14/2022,"52,000","52,500","52,800","52,000",5.80K,-1.33%
